item_code|part_name|material|percent
200000|EXTERIOR|algodon|100%
200001|EXTERIOR|algodon|100%
200002|EXTERIOR|viscosa|62%
200002|EXTERIOR|fibra metalizada|37%
200002|EXTERIOR|elastano|1%
200003|EXTERIOR|viscosa|100%
200004|EXTERIOR|poliester|100%
200005|EXTERIOR|poliester|100%
200006|FORRO|poliester|100%
200007|EXTERIOR|poliester|100%
200008|EXTERIOR|lino|100%
200009|EXTERIOR|lino|100%
200010|EXTERIOR|lino|100%
200011|EXTERIOR|viscosa|100%
200012|EXTERIOR|viscosa|100%
200013|EXTERIOR|viscosa|100%
200014|EXTERIOR|poliester|100%
200015|EXTERIOR|viscosa|100%
200016|EXTERIOR|viscosa|100%
200017|EXTERIOR|algodon|100%
200018|EXTERIOR|algodon|100%
200019|EXTERIOR|viscosa|52%
200019|EXTERIOR|poliester|42%
200019|EXTERIOR|elastano|6%
200020|EXTERIOR|poliester|100%
200021|EXTERIOR|algodon|100%
200022|EXTERIOR|poliester|100%
200023|EXTERIOR|poliester|100%
200024|EXTERIOR|poliester|100%
200024|FORRO|poliester|100%
200026|EXTERIOR|poliester|100%
200027|EXTERIOR|poliester|100%
200028|EXTERIOR|poliester|100%
200029|EXTERIOR|poliester|100%
200030|EXTERIOR|poliester|100%
200031|EXTERIOR|poliester|100%
200032|EXTERIOR|poliester|100%
200033|EXTERIOR|liocel|97%
200033|EXTERIOR|poliester|3%
200034|EXTERIOR|liocel|79%
200034|EXTERIOR|poliamida|18%
200034|EXTERIOR|elastano|3%
200035|EXTERIOR|viscosa|100%
200037|EXTERIOR|poliester|100%
200039|EXTERIOR|liocel|74%
200039|EXTERIOR|nailon|26%
200040|EXTERIOR|poliester|100%
200041|EXTERIOR|viscosa|100%
200042|EXTERIOR|poliester|97%
200042|EXTERIOR|elastano|3%
200043|EXTERIOR|poliester|100%
200044|EXTERIOR|poliester|100%
200045|EXTERIOR|viscosa|55%
200045|EXTERIOR|poliester|40%
200045|EXTERIOR|elastano|5%
200046|EXTERIOR|algodon|100%
200047|EXTERIOR|poliester|53%
200047|EXTERIOR|fibra metalizada|47%
200048|EXTERIOR|poliester|100%
200049|EXTERIOR|viscosa|77%
200049|EXTERIOR|lana|19%
200049|EXTERIOR|poliamida|4%
200050|EXTERIOR|poliester|100%
200051|EXTERIOR|poliester|100%
200052|EXTERIOR|liocel|97%
200052|EXTERIOR|poliester|3%
200053|EXTERIOR|algodon|100%
200055|EXTERIOR|viscosa|100%
200056|EXTERIOR|poliester|100%
200057|EXTERIOR|viscosa|100%
200058|EXTERIOR|poliester|100%
200059|EXTERIOR|poliester|100%
100000|EXTERIOR|viscosa|100%
100001|EXTERIOR|liocel|97%
100001|EXTERIOR|poliester|3%
100002|EXTERIOR|poliester|100%
100002|FORRO|poliester|100%
100003|EXTERIOR|viscosa|100%
100004|EXTERIOR|viscosa|100%
100006|EXTERIOR|poliester|100%
100007|EXTERIOR|poliester|100%
100008|EXTERIOR|acrilico|58%
100008|EXTERIOR|poliester|30%
100008|EXTERIOR|nailon|12%
100009|EXTERIOR|viscosa|100%
100011|EXTERIOR|viscosa|100%
100013|EXTERIOR|acrilico|59%
100013|EXTERIOR|poliester|30%
100013|EXTERIOR|nailon|11%
100014|EXTERIOR|poliester|100%
100015|EXTERIOR|viscosa|100%
100017|EXTERIOR|viscosa|100%
100018|EXTERIOR|poliester|100%
100018|FORRO|poliester|100%
100019|EXTERIOR|poliester|100%
100019|FORRO|poliester|100%
100021|EXTERIOR|poliester|100%
100022|EXTERIOR|algodon|100%
100024|EXTERIOR|algodon|100%
100025|EXTERIOR|liocel|100%
100026|EXTERIOR|poliester|71%
100026|EXTERIOR|viscosa|23%
100026|EXTERIOR|elastano|6%
100027|EXTERIOR|viscosa|100%
100028|EXTERIOR|viscosa|100%
100029|EXTERIOR|poliester|100%
100029|FORRO|viscosa|100%
100030|EXTERIOR|viscosa|60%
100030|EXTERIOR|poliester|37%
100030|EXTERIOR|fibra metalizada|3%
100030|FORRO|poliester|100%
100031|EXTERIOR|poliester|100%
100031|FORRO|poliester|100%
100032|EXTERIOR|algodon|59%
100032|EXTERIOR|poliamida|35%
100032|EXTERIOR|elastano|6%
100032|FORRO|poliester|100%
100033|EXTERIOR|poliester|100%
100034|EXTERIOR|poliester|100%
100035|EXTERIOR|viscosa|100%
100036|EXTERIOR|poliester|54%
100036|EXTERIOR|algodon|45%
100036|EXTERIOR|elastano|1%
100037|EXTERIOR|poliester|100%
100037|FORRO|poliester|100%
100038|EXTERIOR|viscosa|100%
