item_code|item_name|item_desc|join_life|joinlife_title|joinlife_desc|item_price
200000|CAMISA POPELÍN|"""Camisa de cuello solapa y escote pico. Manga alarga acabada en puño. Bolsillo de plastron en delantero. Cierre frontal con botones."""|True|JOIN LIFE Care for fiber: 100% algodon organico.|"""Algodon cultivado utilizando fertilizantes y pesticidas naturales. Ademas, en su cultivo no se utilizan semillas modificadas geneticamente, lo que ayuda a conservar la biodiversidad de las semillas y la fertilidad del suelo."""|1995
200001|CAMISA POPELÍN|"""Camisa de cuello solapa y escote pico. Manga alarga acabada en puño. Bolsillo de plastron en delantero. Cierre frontal con botones."""|True|JOIN LIFE Care for fiber: 100% algodon organico.|"""Algodon cultivado utilizando fertilizantes y pesticidas naturales. Ademas, en su cultivo no se utilizan semillas modificadas geneticamente, lo que ayuda a conservar la biodiversidad de las semillas y la fertilidad del suelo."""|1995
200002|BLUSA HILO METALIZADO|"""Blusa semitransparente de cuello solapa y escote pico. Manga larga acabada en puño. Detalle de pliegues en delantero. Bajo acabado asimetrico.<br/><br/>Este articulo no incluye forro interior."""|False|||3995
200003|BLUSA SATINADA ALAMARES|"""Blusa de cuello subido y escote pico. Manga larga. Cierre frontal con botones Detalle de alamares. Vivos combinados a contraste."""|False|||2995
200004|BLUSA ESTAMPADA CROPPED|"""Blusa satinada de cuello solapa y manga larga acabada en puño. Cierre fontal con botones."""|False|||1995
200005|BLUSA ESTAMPADA CROPPED|"""Blusa satinada de cuello solapa y manga larga acabada en puño. Cierre fontal con botones."""|False|||1995
200006|BLUSA ESTAMPADA TERCIOPELO|"""Blusa semitransparente de cuello solapa y manga larga acabada en puño. Tejido combinado en terciopelo con aplicacion de tachas. Detalle de hilo metalizado. Cierre frontal con botones.<br/><br/>Este articulo no incluye forro interior.<br/><br/>"""|False|||2995
200007|BLUSA SATINADA ESTAMPADA|"""Blusa fluida de cuello solapa y manga larga. Cierre frontal con botones."""|False|||1299
200008|BLUSA LINO BOLSILLOS|"""Blusa de cuello redondo y escote pico. Manga larga acabada en vuelta con trabilla. Bolsillos de plastron en pecho. Cierre frontal con botones.<br/><br/>ALTURA MODELO: 177 CM"""|True|JOIN LIFE Care for fiber: 100% lino de cultivo europeo.|"""Este lino se cultiva de forma natural, sin riego artificial y no usa semillas modificadas geneticamente ni defoliantes. Su produccion se realiza en Europa siguiendo el estandar de European Flax® de European Confederation of Flax and Hemp (CELC)."""|1299
200009|BLUSA LINO BOLSILLOS|"""Blusa de cuello redondo y escote pico. Manga larga acabada en vuelta con trabilla. Bolsillos de plastron en pecho. Cierre frontal con botones.<br/><br/>ALTURA MODELO: 177 CM"""|True|JOIN LIFE Care for fiber: 100% lino de cultivo europeo.|"""Este lino se cultiva de forma natural, sin riego artificial y no usa semillas modificadas geneticamente ni defoliantes. Su produccion se realiza en Europa siguiendo el estandar de European Flax® de European Confederation of Flax and Hemp (CELC)."""|1299
