,X,Y,PID,SSL,PROPERTYNAME,PMPARENTPROPERTYID,PARENTPROPERTYNAME,REPORTINGYEAR,REPORTSTATUS,ADDRESSOFRECORD,OWNEROFRECORD,WARD,POSTALCODE,YEARBUILT,PRIMARYPROPERTYTYPE_SELFSELECT,PRIMARYPROPERTYTYPE_EPACALC,TAXRECORDFLOORAREA,REPORTEDBUILDINGGROSSFLOORAREA,ENERGYSTARSCORE,SITEEUI_KBTU_FT,WEATHERNORMALZEDSITEEUI_KBTUFT,SOURCEEUI_KBTU_FT,WEATHERNORMALZEDSOUREUI_KBTUFT,TOTGHGEMISSIONS_METRICTONSCO2E,TOTGHGEMISSINTENSITY_KGCO2EFT,WATERSCORE_MFPROPERTIES,WATERUSE_ALLWATERSOURCES_KGAL,METEREDAREAS_ENERGY,METEREDAREAS_WATER,NATURALGASUSE_THERMS,FUELOILANDDIESELFUELUSEKBTU,ADDRESSID,XCOORD,YCOORD,GIS_LAST_MOD_DTTM,DISTRCHILLEDWATER_KBTU,DISTRHOTWATER_KBTU,DISTRSTEAM_KBTU,ELECTRICITYUSE_RENEWABLE_KWH,ELECTRICITYUSE_GRID_KWH,NATURALGAS_KBTU_JANUARY,NATURALGAS_KBTU_FEBRUARY,NATURALGAS_KBTU_MARCH,NATURALGAS_KBTU_APRIL,NATURALGAS_KBTU_MAY,NATURALGAS_KBTU_JUNE,NATURALGAS_KBTU_JULY,NATURALGAS_KBTU_AUGUST,NATURALGAS_KBTU_SEPTEMBER,NATURALGAS_KBTU_OCTOBER,NATURALGAS_KBTU_NOVEMBER,NATURALGAS_KBTU_DECEMBER,ELECTRICITYUSE_KBTU_JANUARY,ELECTRICITYUSE_KBTU_FEBRUARY,ELECTRICITYUSE_KBTU_MARCH,ELECTRICITYUSE_KBTU_APRIL,ELECTRICITYUSE_KBTU_MAY,ELECTRICITYUSE_KBTU_JUNE,ELECTRICITYUSE_KBTU_JULY,ELECTRICITYUSE_KBTU_AUGUST,ELECTRICITYUSE_KBTU_SEPTEMBER,ELECTRICITYUSE_KBTU_OCTOBER,ELECTRICITYUSE_KBTU_NOVEMBER,ELECTRICITYUSE_KBTU_DECEMBER,LASTUPDATE
7157,-77.00125046,38.92696861,PM13290122,3548    0002; PAR 01200034,Trinity Washington University,13290122.0,Trinity Washington University,2020,In Compliance,125 MICHIGAN AVE NE,TRINITY COLLEGE,5.0,20017,1897.0,College/University,College/University,56787,611937.0,,97.4,104.1,159.7,167.3,4021.8,6.6,,13945.1,Whole Property,,395010.1483,0.0,285983.0,399891.7698,139898.1767,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,5890697.8,5939811.5,5301216.9,4047114.8,3068890.6,2063335.2,1128051.1,1229511.7,1452202.8,1435317.3,2164610.9,4213668.2,7457283.8,1704935.2,1619615.0,1534335.5,1326774.7,1440214.2,1754929.6,2183999.3,2335673.4,1861766.0,1581306.5,1394346.7,1361167.2,2022/05/04 00:00:00+00
7158,-77.00125046,38.92696861,PM13290122,3548    0002; PAR 01200034,Trinity Washington University,13290122.0,Trinity Washington University,2021,In Compliance,125 MICHIGAN AVE NE,TRINITY COLLEGE,5.0,20017,1897.0,College/University,College/University,56787,611937.0,,107.2,111.4,172.1,175.3,4311.4,7.0,,15579.5,Whole Property,,447621.9365,0.0,285983.0,399891.7698,139898.1767,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,6104179.0,7809562.4,6956994.1,5738592.2,3283462.5,2025584.4,1638329.4,1613010.5,1469746.9,1464220.9,2572610.0,4750871.7,5439208.7,1356606.7,1293327.3,1431016.4,1371796.0,1555443.4,1984179.0,2241900.7,2390039.3,2228434.0,1901595.0,1633559.4,1439564.1,2022/05/04 00:00:00+00
7292,-77.00125046,38.92696861,PM13290122,3548    0002; PAR 01200034,Trinity Washington University,13290122.0,Trinity Washington University,2018,In Compliance,4TH ST NE,TRINITY COLLEGE,5.0,20017,1964.0,College/University,College/University,56787,611937.0,,107.3,108.1,178.0,178.2,4460.4,7.3,,17475.6,Whole Property,,428283.6533,0.0,285983.0,399891.7698,139898.1767,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,6692789.2,8073103.3,6116260.7,6348018.2,3592753.5,1361788.7,779003.4,696367.8,758283.4,1011907.9,2526709.0,5476186.2,6087983.2,1772604.4,1622977.6,1766558.2,1652440.7,1823850.1,2019057.5,2305882.0,2433167.3,2331498.8,1883963.2,1617129.6,1606670.1,2022/05/04 00:00:00+00
7293,-77.00125046,38.92696861,PM13290122,3548    0002; PAR 01200034,Trinity Washington University,13290122.0,Trinity Washington University,2019,In Compliance,4TH ST NE,TRINITY COLLEGE,5.0,20017,1897.0,College/University,College/University,56787,611937.0,,102.0,106.4,172.2,175.1,4284.3,7.0,,19233.7,Whole Property,,396209.8791,0.0,285983.0,399891.7698,139898.1767,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,6675047.3,7598599.0,6823875.4,5172581.1,2328735.3,1201946.1,855762.7,754449.9,850416.2,942031.8,2313095.4,4618196.5,6161298.5,1699966.0,1573450.9,1695416.2,1564232.0,1741013.2,2049732.7,2503814.7,2547123.7,2254430.6,1809300.3,1655301.0,1681483.0,2022/05/04 00:00:00+00
7362,-77.00861031,38.90051818,PM1309871,0676    0114,801 North Capitol Street,,,2017,In Compliance,801 NORTH CAPITOL ST NE,ASB 801 NORTH CAPITOL LLC,6.0,20002,1966.0,College/University,College/University,98980,120921.0,,53.8,54.4,161.0,161.6,695.2,5.7,,1600.6,Whole Building,,4519.882241,0.0,79625.0,399253.3123,136961.9945,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,1773186.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022/05/10 00:00:00+00
7363,-77.00860803,38.90051073,PM1309871,0676    0114,801 North Capitol Street,,,2018,In Compliance,801 NORTH CAPITOL ST NE,ASB 801 NORTH CAPITOL LLC,6.0,20002,1966.0,College/University,College/University,98980,120921.0,,10.9,70.0,17.1,183.2,86.8,0.7,,1495.0,Whole Property,Whole Building,9247.307959,0.0,79625.0,399253.5101,136961.167,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,2221630.3,467779.9,312391.2,84946.8,548416.3,201955.8,1327.2,26.5,0.0,447.0,7218.6,247899.9,181956.1,511956.3,464394.1,465090.9,441370.0,449066.8,445012.9,474248.9,1761592.2,1245231.6,402871.4,6914.7,376362.2,2022/05/10 00:00:00+00
7364,-77.00860803,38.90051073,PM1309871,0676    0114,801 North Capitol Street,,,2019,In Compliance,801 NORTH CAPITOL STREET NE,ASB 801 NORTH CAPITOL LLC,6.0,20002,1966.0,College/University,College/University,98980,120921.0,,62.3,63.0,162.6,163.3,686.4,5.7,,1506.5,Whole Property,,8244.112714,0.0,79625.0,399253.5101,136961.167,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,1967790.4,173181.3,231863.0,213018.5,39833.0,6499.4,1293.6,25.8,0.0,285.7,191.0,82535.8,75684.3,511956.3,464394.1,465090.9,441370.0,449066.8,357590.4,320852.4,1614112.3,1105216.3,258339.1,292391.7,433721.3,2022/05/10 00:00:00+00
7365,-77.00860803,38.90051073,PM1309871,0676    0114,801 North Capitol Street,,,2020,In Compliance,801 NORTH CAPITOL ST NE,ASB 601 NORTH CAPITOL LLC,6.0,20002,1966.0,College/University,College/University,98980,120921.0,,39.8,40.5,105.3,106.1,442.7,3.7,,1286.5,Whole Property,,4220.028998,0.0,79625.0,399253.5101,136961.167,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,1286919.9,104685.2,60763.6,82774.8,29262.2,2952.0,0.0,0.0,0.0,0.0,0.0,25975.0,115590.2,531999.1,553631.2,512482.4,380711.1,233244.3,217412.6,324754.1,341609.5,334580.7,299846.6,318953.7,341745.9,2022/05/10 00:00:00+00
7366,-77.00860803,38.90051073,PM1309871,0676    0114,801 North Capitol Street,,,2021,In Compliance,801 NORTH CAPITOL ST NE,ASB 801 NORTH CAPITOL LLC,6.0,20002,1966.0,College/University,College/University,98980,120921.0,,35.5,36.1,93.0,93.6,381.0,3.2,,770.7,Whole Property,,4495.819502,0.0,79625.0,399253.5101,136961.167,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,1127159.9,159978.7,80915.4,75330.7,14880.0,0.0,0.0,0.0,0.0,0.0,0.0,27575.0,90902.1,434074.7,386989.1,397634.5,305305.8,296502.8,249758.4,288655.2,276713.2,331509.9,271049.3,275484.9,332192.3,2022/05/10 00:00:00+00
7598,-77.0891125,38.9189164,PM13820283,1374    0850,DOEE - Mount Vernon Campus,13820283.0,DOEE - Mount Vernon Campus,2018,In Compliance,2100 FOXHALL RD NW,THE GEORGE WASHINGTON UNIVERSITY,3.0,20007,1970.0,College/University,Residence Hall/Dormitory,271712,272171.0,,94.5,95.6,183.8,183.8,1926.3,7.1,,9182.8,Whole Property,,125734.8707,0.0,224574.0,392272.2879,139008.084,2023/02/26 09:02:48+00,0.0,0.0,0.0,0.0,3853634.4,2087841.1,1413819.0,1776276.9,1108699.3,590755.4,319099.8,356688.1,384669.6,524035.1,1259631.5,1373252.5,1378718.7,856068.6,895176.6,943651.7,1057054.3,1248125.5,1169669.9,1188604.7,1379703.0,1604162.6,1245211.1,813223.4,747950.9,2022/07/19 00:00:00+00
